IMDB_ID,name,year,IMDB_rating,IMDB_url,BECHDEL_rating,RT_rating,RT_USER_rating,runtime,checktitle,source
372784,Batman Begins,2005,8.3,http://www.imdb.com/title/tt0372784/,1,3,94,140,Batman Begins,Batman.Begins.2005.720p.BluRay.DD5.1.x264-CtrlHD.mkv
407887,The Departed,2006,8.5,http://www.imdb.com/title/tt0407887/,1,4,94,151,The Departed,The.Departed.2006.BluRay.480p.H264.mp4
482571,The Prestige,2006,8.5,http://www.imdb.com/title/tt0482571/,1,4,92,130,The Prestige,The.Prestige.2006.BluRay.720p.6chAC3.H264.mp4
405094,The Lives of Others,2006,8.5,http://www.imdb.com/title/tt0405094/,0,4,96,137,The Lives of Others,The.Lives.of.Others.2006.720p.BluRay.x264.mkv
838221,Darjeeling Limited,2007,7.2,http://www.imdb.com/title/tt0838221/,1,3,78,91,The Darjeeling Limited,Darjeeling Limited.mkv
461770,Enchanted,2007,7.1,http://www.imdb.com/title/tt0461770/,3,3,80,107,Enchanted,Enchanted.2007.BluRay.720p.H264.mp4
758758,Into The Wild,2007,8.1,http://www.imdb.com/title/tt0758758/,1,4,89,148,Into the Wild,Into.The.Wild.2007.BluRay.720p.H264.mp4
829482,Superbad,2007,7.6,http://www.imdb.com/title/tt0829482/,2,4,87,113,Superbad,superbad.2007.unrated.1080p.bluray.x264-wpi.mkv
986264,Like Stars on Earth,2007,,http://www.imdb.com/title/tt0986264/,,,,,,Taare Zameen Par.720p.x264.mkv
795421,Mamma Mia,2008,6.3,http://www.imdb.com/title/tt0795421/,3,3,66,108,Mamma Mia!,Mamma.Mia.2008.BRRip.HebSubs.XviD.AC3-Uploadil.avi
859163,The Mummy 3 Tomb Of The Dragon Emperor,2008,5.2,http://www.imdb.com/title/tt0859163/,3,2,30,112,The Mummy: Tomb of the Dragon Emperor,The.Mummy.3.Tomb.Of.The.Dragon.Emperor.2008.BluRay.720p.H264.mp4
468569,The Dark Knight,2008,9,http://www.imdb.com/title/tt0468569/,3,4,94,152,The Dark Knight,The.Dark.Knight.2008.IMAX.BluRay.720p.H264.mp4
1119646,The Hangover,2009,7.7,http://www.imdb.com/title/tt1119646/,1,4,84,100,The Hangover,The.Hangover.UNRATED.2009.720p.BluRay.x264-EPiK.mkv
1187043,3 Idiots,2009,8.4,http://www.imdb.com/title/tt1187043/,1,4,92,170,3 Idiots,3.Idiots.2009.720p.BluRay.x264-D3Si.mkv
1234548,The Men Who Stare at Goats,2009,6.2,http://www.imdb.com/title/tt1234548/,0,3,39,94,The Men Who Stare at Goats,The.Men.Who.Stare.at.Goats.2009.BluRay.720p.H264.mp4
452694,The Time Travelers Wife,2009,7.1,http://www.imdb.com/title/tt0452694/,3,3,59,107,The Time Traveler's Wife,The.Time.Travelers.Wife.2009.BluRay.720p.H264.mp4
361748,Inglourious Basterds,2009,8.3,http://www.imdb.com/title/tt0361748/,3,3,87,153,Inglourious Basterds,Inglourious.Basterds.2009.BluRay.720p.H264.mp4
1375666,Inception,2010,8.8,http://www.imdb.com/title/tt1375666/,3,4,91,148,Inception,Inception.2010.DVDRip.x264-DJ.mkv
